const,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
1,0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
1,0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.68
1,0.9,563.5,318.5,122.5,7.0,3,0.4,2,36.57
1,0.79,637.0,343.0,147.0,7.0,2,0.25,2,38.57
1,0.9,563.5,318.5,122.5,7.0,4,0.4,5,34.72
1,0.64,784.0,343.0,220.5,3.5,2,0.25,4,16.99
1,0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19
1,0.98,514.5,294.0,110.25,7.0,3,0.25,3,28.56
1,0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51
1,0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27
1,0.66,759.5,318.5,220.5,3.5,2,0.4,5,14.96
1,0.9,563.5,318.5,122.5,7.0,3,0.25,2,33.27
1,0.82,612.5,318.5,147.0,7.0,3,0.25,4,24.96
1,0.66,759.5,318.5,220.5,3.5,4,0.4,2,15.09
1,0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.95
1,0.79,637.0,343.0,147.0,7.0,5,0.25,2,38.98
1,0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75
1,0.66,759.5,318.5,220.5,3.5,5,0.4,4,15.3
1,0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95
1,0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4
1,0.82,612.5,318.5,147.0,7.0,3,0.25,5,25.17
1,0.74,686.0,245.0,220.5,3.5,4,0.1,4,10.07
1,0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87
1,0.64,784.0,343.0,220.5,3.5,5,0.4,3,18.46
1,0.74,686.0,245.0,220.5,3.5,3,0.4,1,14.61
1,0.9,563.5,318.5,122.5,7.0,2,0.4,3,34.24
1,0.62,808.5,367.5,220.5,3.5,2,0.4,2,16.76
1,0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0
1,0.79,637.0,343.0,147.0,7.0,2,0.4,3,41.26
